dttm,value
2017-10-06 12:58:31,253
2017-10-06 12:59:01,253
2017-10-06 12:59:31,252
2017-10-06 13:00:01,256
2017-10-06 13:00:31,253
2017-10-06 13:01:01,253
2017-10-06 13:01:31,253
2017-10-06 13:02:01,253
2017-10-06 13:02:31,253
2017-10-06 13:03:01,253
2017-10-06 13:03:31,254
2017-10-06 13:04:01,254
2017-10-06 13:04:32,254
2017-10-06 13:05:02,254
2017-10-06 13:05:32,254
2017-10-06 13:06:02,254
2017-10-06 13:06:32,255
2017-10-06 13:07:02,255
2017-10-06 13:07:32,255
2017-10-06 13:08:02,258
2017-10-06 13:08:32,255
2017-10-06 13:09:02,254
2017-10-06 13:09:32,254
2017-10-06 13:10:02,257
2017-10-06 13:10:32,254
2017-10-06 13:11:02,254
2017-10-06 13:11:32,253
2017-10-06 13:12:02,253
2017-10-06 13:12:32,253
2017-10-06 13:13:02,253
2017-10-06 13:13:32,253
2017-10-06 13:14:02,253
2017-10-06 13:14:32,254
2017-10-06 13:15:03,255
2017-10-06 13:15:33,254
2017-10-06 13:16:03,254
2017-10-06 13:16:33,254
2017-10-06 13:17:03,256
2017-10-06 13:17:33,254
2017-10-06 13:18:03,254
2017-10-06 13:18:33,255
2017-10-06 13:19:03,254
2017-10-06 13:19:33,253
2017-10-06 13:20:03,253
2017-10-06 13:20:33,253
2017-10-06 13:21:03,253
2017-10-06 13:21:33,253
2017-10-06 13:22:03,254
2017-10-06 13:22:33,253
2017-10-06 13:23:03,256
2017-10-06 13:23:33,256
2017-10-06 13:24:03,253
2017-10-06 13:24:33,253
2017-10-06 13:25:03,253
2017-10-06 13:25:34,254
2017-10-06 13:26:04,257
2017-10-06 13:26:34,257
2017-10-06 13:27:04,257
2017-10-06 13:27:34,257
2017-10-06 13:28:04,256
2017-10-06 13:28:34,257
2017-10-06 13:29:04,257
2017-10-06 13:29:34,257
2017-10-06 13:30:04,256
2017-10-06 13:30:34,256
2017-10-06 13:31:04,255
2017-10-06 13:31:34,256
2017-10-06 13:32:04,256
2017-10-06 13:32:34,255
2017-10-06 13:33:04,256
2017-10-06 13:33:34,255
2017-10-06 13:34:04,255
2017-10-06 13:34:34,255
2017-10-06 13:35:04,256
2017-10-06 13:35:34,257
2017-10-06 13:36:04,256
2017-10-06 13:36:35,256
2017-10-06 13:37:05,256
2017-10-06 13:37:35,257
2017-10-06 13:38:05,260
2017-10-06 13:38:35,259
2017-10-06 13:39:05,256
2017-10-06 13:39:35,256
2017-10-06 13:40:05,256
2017-10-06 13:40:35,255
2017-10-06 13:41:05,255
2017-10-06 13:41:35,255
2017-10-06 13:42:05,255
2017-10-06 13:42:35,255
2017-10-06 13:43:05,255
2017-10-06 13:43:35,255
2017-10-06 13:44:05,256
2017-10-06 13:44:35,256
2017-10-06 13:45:05,254
2017-10-06 13:45:35,255
2017-10-06 13:46:05,255
2017-10-06 13:46:35,255
2017-10-06 13:47:06,254
2017-10-06 13:47:36,254
2017-10-06 13:48:06,254
2017-10-06 13:48:36,253
2017-10-06 13:49:06,253
2017-10-06 13:49:36,253
2017-10-06 13:50:06,253
2017-10-06 13:50:36,254
2017-10-06 13:51:06,254
2017-10-06 13:51:36,254
2017-10-06 13:52:06,254
2017-10-06 13:52:36,254
2017-10-06 13:53:06,257
2017-10-06 13:53:36,259
2017-10-06 13:54:06,254
2017-10-06 13:54:36,254
2017-10-06 13:55:06,254
2017-10-06 13:55:36,253
2017-10-06 13:56:06,253
2017-10-06 13:56:36,253
2017-10-06 13:57:06,253
2017-10-06 13:57:37,253
2017-10-06 13:58:07,253
2017-10-06 13:58:37,253
2017-10-06 13:59:07,253
2017-10-06 13:59:37,252
2017-10-06 14:00:07,254
2017-10-06 14:00:37,254
2017-10-06 14:01:07,253
2017-10-06 14:01:37,253
2017-10-06 14:02:07,254
2017-10-06 14:02:37,254
2017-10-06 14:03:07,254
2017-10-06 14:03:37,254
2017-10-06 14:04:07,254
2017-10-06 14:04:37,254
2017-10-06 14:05:07,254
2017-10-06 14:05:37,254
2017-10-06 14:06:07,254
2017-10-06 14:06:37,254
2017-10-06 14:07:07,254
2017-10-06 14:07:38,253
2017-10-06 14:08:08,256
2017-10-06 14:08:38,256
2017-10-06 14:09:08,253
2017-10-06 14:09:38,254
2017-10-06 14:10:08,254
2017-10-06 14:10:38,254
2017-10-06 14:11:08,254
2017-10-06 14:11:38,254
2017-10-06 14:12:08,254
2017-10-06 14:12:38,254
2017-10-06 14:13:08,254
2017-10-06 14:13:38,254
2017-10-06 14:14:08,254
2017-10-06 14:14:38,254
2017-10-06 14:15:08,255
2017-10-06 14:15:38,254
2017-10-06 14:16:08,253
2017-10-06 14:16:38,253
2017-10-06 14:17:08,253
2017-10-06 14:17:38,253
2017-10-06 14:18:08,253
2017-10-06 14:18:39,253
2017-10-06 14:19:09,253
2017-10-06 14:19:39,253
2017-10-06 14:20:09,254
2017-10-06 14:20:39,254
2017-10-06 14:21:09,254
2017-10-06 14:21:39,254
2017-10-06 14:22:09,254
2017-10-06 14:22:39,254
2017-10-06 14:23:09,257
2017-10-06 14:23:39,260
2017-10-06 14:24:09,254
2017-10-06 14:24:39,254
2017-10-06 14:25:09,253
2017-10-06 14:25:39,253
2017-10-06 14:26:09,253
2017-10-06 14:26:39,253
2017-10-06 14:27:09,253
2017-10-06 14:27:39,254
2017-10-06 14:28:09,253
2017-10-06 14:28:39,253
2017-10-06 14:29:10,253
2017-10-06 14:29:40,254
2017-10-06 14:30:10,253
2017-10-06 14:30:40,253
2017-10-06 14:31:10,253
2017-10-06 14:31:40,254
2017-10-06 14:32:10,254
2017-10-06 14:32:40,254
2017-10-06 14:33:10,254
