Linux    OSW v2.1.1
zzz ***Wed Oct 19 08:00:43 UTC 2016
F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S root      3365  3343  0  80   0 -  1465 hrtime 08:00 ?        00:00:00 vmstat 1 3
0 S root      3368  3349  0  80   0 - 14737 pause  08:00 ?        00:00:00 iostat -x 3 3
0 S root      3369  3349  0  80   0 - 15981 unix_s 08:00 ?        00:00:00 awk BEGIN{skip=0; pr=0}?/^avg-cpu: /{if (skip==1) { pr=1} else {skip=1}}?pr == 1 {print}
4 R root      3370  3356  0  80   0 - 17978 -      08:00 ?        00:00:00 ps -elf
4 S root      3375  3353  0  80   0 -  4761 poll_s 08:00 ?        00:00:00 top -b -c -n 2
zzz ***Wed Oct 19 08:01:43 UTC 2016
F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root         1     0  0  80   0 -  2590 poll_s 07:48 ?        00:00:00 init [3]                                                                                                                                                           
1 S root         2     0  0  80   0 -     0 kthrea 07:48 ?        00:00:00 [kthreadd]
1 S root         3     2  0 -40   - -     0 migrat 07:48 ?        00:00:00 [migration/0]
1 S root         4     2  0  80   0 -     0 ksofti 07:48 ?        00:00:00 [ksoftirqd/0]
5 S root         5     2  0 -40   - -     0 watchd 07:48 ?        00:00:00 [watchdog/0]
1 S root         6     2  0 -40   - -     0 migrat 07:48 ?        00:00:00 [migration/1]
1 S root         7     2  0  80   0 -     0 ksofti 07:48 ?        00:00:00 [ksoftirqd/1]
5 S root         8     2  0 -40   - -     0 watchd 07:48 ?        00:00:00 [watchdog/1]
1 S root         9     2  0 -40   - -     0 migrat 07:48 ?        00:00:00 [migration/2]
1 S root        10     2  0  80   0 -     0 ksofti 07:48 ?        00:00:00 [ksoftirqd/2]
5 S root        11     2  0 -40   - -     0 watchd 07:48 ?        00:00:00 [watchdog/2]
1 S root        12     2  0 -40   - -     0 migrat 07:48 ?        00:00:00 [migration/3]
1 S root        13     2  0  80   0 -     0 ksofti 07:48 ?        00:00:00 [ksoftirqd/3]
5 S root        14     2  0 -40   - -     0 watchd 07:48 ?        00:00:00 [watchdog/3]
1 S root        15     2  0  80   0 -     0 worker 07:48 ?        00:00:00 [events/0]
